category,is_page_list,url
equipement_de_protection_individuelle,False,https://www.castorama.fr/outillage/vetement-chaussures-et-protection/cat_id_1923.cat
equipement_et_accessoires_pour_velo_et_trottinette,False,https://www.castorama.fr/outillage/equipement-et-accessoires-pour-velo-et-trottinette/cat_id_0002013.cat
equipement_et_accessoires_auto,False,https://www.castorama.fr/outillage/outillage-a-main/cable-chargeur-et-accessoires-de-voiture/cat_id_5302.cat
graisse_et_lubrifiant,False,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat
pistolet_a_peinture_decolleuse_et_decapeur,False,https://www.castorama.fr/outillage/pistolet-a-peinture-decolleuse-et-decapeur/cat_id_2329.cat
materiaux_bois,False,https://www.castorama.fr/menuiserie/panneau-bois-lambris-tablette-tasseau-moulure-et-plinthe/cat_id_163.cat
materiaux_verre,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/verre-et-occultation/verre/cat_id_822.cat
escalier_barriere_de_securite_balustrade_et_garde_corps,False,https://www.castorama.fr/menuiserie/escalier-rampe-et-balustrade/cat_id_3553.cat
fenetre,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/fenetre/cat_id_4337.cat
porte_fenetre,False,https://www.castorama.fr/porte-fenetre/cat_id_0001953.cat
baie_vitree,False,https://www.castorama.fr/baie-vitree/cat_id_0001952.cat
fenetre_de_toit,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/fenetre-de-toit-et-accessoire/cat_id_4314.cat
volet,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/volet-et-accessoire/cat_id_2580.cat
porte_interieure,False,https://www.castorama.fr/menuiserie/porte-interieure/cat_id_3520.cat
porte_exterieure,False,https://www.castorama.fr/menuiserie/porte-exterieure-de-service-et-porte-de-garage/cat_id_3522.cat
porte_de_garage,False,https://www.castorama.fr/jardin-et-terrasse/portail-portillon-porte-de-garage-et-motorisation/porte-de-garage/cat_id_2556.cat
separateur_de_piece,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/separateur-de-piece/cat_id_5269.cat
moustiquaire,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/moustiquaire/cat_id_2539.cat
menuiserie_sur_mesure,False,https://www.castorama.fr/menuiserie/menuiserie-sur-mesure/cat_id_5052.cat
materiaux_de_construction,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiau-poudre-et-agregat/cat_id_667.cat
isolation,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/isolation/cat_id_3475.cat
cloison,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/cloison/cat_id_562.cat
toiture_charpente_et_couverture,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/toiture-charpente-et-couverture/cat_id_473.cat
revetement_du_mur_exterieur,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/revetement-de-la-facade/cat_id_794.cat
traitement_et_evacuation_des_eaux,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/evacuation-des-eaux-et-assainissement/cat_id_599.cat
etancheite,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/produit-d-etancheite/cat_id_580.cat
sous_couche_parquet_sol_pvc_et_stratifie,False,https://www.castorama.fr/carrelage-sol/parquet-sol-stratifie-et-plancher/sous-couche-parquet-sol-pvc-et-stratifie/cat_id_3244.cat
carrelage_faience_et_mosaique,False,https://www.castorama.fr/carrelage-sol/carrelage-sol-et-mural/cat_id_3304.cat
parquet_bois_et_stratifie,False,https://www.castorama.fr/carrelage-sol/parquet-sol-stratifie-et-plancher/cat_id_3232.cat
sol_vinyle_pvc,False,https://www.castorama.fr/carrelage-sol/sol-vinyle-pvc-moquette/cat_id_2707.cat
